position_name,x,y
Sheepmount,338976.667665046,557134.976623057
Bothcherby,341679.717819795,555793.278146328
Denton Holme,339971.25729932,554959.550771832
Building 1,341809.694049872,556066.523919679
Water mark 3,341535.101526671,556280.521196441
Water mark 4,341438.059065814,556293.0243031
Water mark 5,340997.812062545,556590.881186499
Water mark 6,342636.301068691,556823.694725371
Water mark 7,342166.204650748,556361.016052663
Bus depot,339185.401146649,556353.683275873
Substation,338635.544849532,556449.744351192
Pallett Yard,338647.975733012,556596.816232372
Brown Bros.,339274.53304529,556429.407153918
Water mark 1,341190.919847142,556082.680669466
Water mark 2,339976.270437566,555438.547634372
